match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,21,0,0,1,1,15-40,3,True,1,4n,6b29f3d@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,22,0,0,1,2,0-0,4,True,2,5f29b28f38s28f+38*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,23,0,0,1,2,0-15,4,True,2,6f28f19f29f28b29b29f19f1d#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,24,0,0,1,2,0-30,4,True,2,6x,5b38b39b38b1w@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,25,0,0,1,2,0-40,4,True,2,6d,4b19*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,26,0,0,2,2,0-0,5,True,1,4f18f18f19f38b38b39b28b39b28f38b37b37b29f18f39b39b39b18f18f38b27b18f28b39*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,27,0,0,2,2,15-0,5,True,1,5n,4b38b19*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,28,0,0,2,2,30-0,5,True,1,5r37s39b19f18f1n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,29,0,0,2,2,40-0,5,True,1,6r27f+3d@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,30,0,0,2,2,40-15,5,True,1,c6b28f29b39b38b37b38b19f28f3d@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,31,0,0,3,2,0-0,6,True,2,6b28f29f29f19f28f+39m3p27r-18l2d#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,32,0,0,3,2,0-15,6,True,2,5d;,5f28f+19*,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,33,0,0,3,2,15-15,6,True,2,4f29b28r39b38b38b1x@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,34,0,0,3,2,15-30,6,True,2,4w,4b38b29b39b28f37b29b19f37b38b38b38b38b27f38b1d#,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,35,0,0,3,2,30-30,6,True,2,6b38b3n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,36,0,0,3,2,30-40,6,True,2,4w,5d,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,37,0,0,4,2,0-0,7,True,1,4f29f37b38b18*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,38,0,0,4,2,15-0,7,True,1,4x,4b38b18r1w#,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,39,0,0,4,2,30-0,7,True,1,5n,6b2d@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,40,0,0,4,2,40-0,7,True,1,5f37b+28f19*,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,41,0,0,4,2,40-15,7,True,1,4r18f+39b2v17*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,42,0,0,5,2,0-0,8,True,2,4f28f38b38b;3n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,43,0,0,5,2,0-15,8,True,2,4b39b28b18r17f+19f2d@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,44,0,0,5,2,0-30,8,True,2,6n,5b29b2d@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,45,0,0,5,2,0-40,8,True,2,6f39f3n#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,46,1,0,0,0,0-0,9,True,1,4d,6b17f+38b3z!3n#,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,47,1,0,0,0,0-15,9,True,1,4d,4b38b19r2n#,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,48,1,0,0,0,15-15,9,True,1,5f29f18f18f28f3x@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,49,1,0,0,0,30-15,9,True,1,6d,5f1w@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,50,1,0,0,0,40-15,9,True,1,5f17f19f1n#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,51,1,0,1,0,0-0,10,True,2,4f18f18f29b28f3d@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,52,1,0,1,0,15-0,10,True,2,6n,5n,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,53,1,0,1,0,15-15,10,True,2,6x;,6b18*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,54,1,0,1,0,15-30,10,True,2,6n,4b38b29b38b29b28b19f19f17f17r2n#,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,55,1,0,1,0,15-40,10,True,2,6*,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,56,1,0,1,0,30-40,10,True,2,5f2d#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,57,1,0,1,0,40-40,10,True,2,5f1x#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,58,1,0,1,0,AD-40,10,True,2,6f38b3n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,59,1,0,1,0,40-40,10,True,2,6b18f3n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,60,1,0,1,0,40-AD,10,True,2,4b38b39b19f1w@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,61,1,0,2,0,0-0,11,True,1,5f29b38b29b17f18f19f39b28f19f18f1w@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,62,1,0,2,0,15-0,11,True,1,4b38b37*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,63,1,0,2,0,30-0,11,True,1,6b28b18r2d#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,64,1,0,2,0,40-0,11,True,1,4n,4b+38b19*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,65,1,0,3,0,0-0,12,True,2,4f28f;38b38b38b18f18f3d@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,66,1,0,3,0,15-0,12,True,2,6n,4b38b19f38*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,67,1,0,3,0,15-15,12,True,2,5b29f37b37b38b19r19f18*,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,68,1,0,3,0,15-30,12,True,2,5f28f28b39b38b38b;3n@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,69,1,0,3,0,15-40,12,True,2,6b39b38b1n@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,70,1,0,3,0,30-40,12,True,2,4d,4b38*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,71,1,0,4,0,0-0,13,True,1,5n,6b28f38b29f28b38b18f3n@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,72,1,0,4,0,15-0,13,True,1,4d,6f38*,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,73,1,0,4,0,15-15,13,True,1,5b1x#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,74,1,0,4,0,30-15,13,True,1,5b38b28f29b38b28b39b39b27f+18f3z38*,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,75,1,0,4,0,30-30,13,True,1,5d,6b28f18*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,76,1,0,4,0,40-30,13,True,1,5n,4b2d@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,77,1,0,5,0,0-0,14,True,2,4d,6b18f29f29f29f38b39b2d@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,78,1,0,5,0,15-0,14,True,2,5b39b29f38b28f18f2d#,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,79,1,0,5,0,15-15,14,True,2,6w,6b18f18f19f38b29f19f18f19r2n#,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,80,1,0,5,0,30-15,14,True,2,6f18f18f38b3x@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,81,1,0,5,0,30-30,14,True,2,6b28f29f18f29f39b27f+37b2v1w@,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,82,1,0,5,0,40-30,14,True,2,4b38b27b38b29b18f39*,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,83,1,0,5,1,0-0,15,True,1,4n,6b3w@,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,84,1,0,5,1,15-0,15,True,1,4n,4b27b38b39b39b38b1w@,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,85,1,0,5,1,15-15,15,True,1,5d,5b;28f+39m2f-17l1o37*,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,86,1,0,5,1,30-15,15,True,1,5f28f18f29f38b27f18f18r17f+39m1d#,,,2
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,87,1,0,5,1,30-30,15,True,1,5b29f28f27f18f2d@,,,1
20240608-W-Roland_Garros-F-Iga_Swiatek-Jasmine_Paolini,88,1,0,5,1,40-30,15,True,1,4s2d#,,,1
